Feature,Customer ID,Age,Occupation,Region Type,Marriage Status,Has Children,Income,Number of Handsets,Handset Age,Has Smart Phone,Current Handset Price,Credit Rating,Is Homeowner,Credit Card On Account,Average Bill Cost,Average Minutes Used,Average Recurring Charge,Average Over Bundle Mins,Average No. Roaming Calls,Call Mins Change %,Bill Amount Change %,Average Received Minutes,Average No. Outgoing Calls,Average No. Incoming Calls,Peak:OffPeak,Peak:OffPeak Change %,Average No. Dropped Calls,Lifetime (months customer),No. Customer Care Calls Last Month,Number of Retention Calls,No. Retention Offers Accepted,No. New Frequent Numbers,Churn (Customer Left)
122,1048145,24.0,unknown,unknown,no,false,7,1,576,true,,B, false,true,35.83,92.75,44.99,0.0,0.1,-0.295,0.003,4.51,6.67,0.0,1.356722014,3.202140027,0.67,19,0.0,,,0, true
123,1087455,,unknown,unknown,unknown,false,0,1,181,true,,B, true,false,39.29,345.5,39.99,24.5,0.2,-0.81,-0.1082,155.34,27.0,7.67,3.603513514,0.736584858,12.33,6,0.33,,,0, false
124,1045125,,unknown,town,unknown,false,0,2,139,true,79.99,D, true,false,80.64,1253.75,84.99,0.0,5.65,-0.775,0.0352,350.31,46.0,16.0,1.211180124,-3.934919462,36.33,18,0.33,,,1, false
125,1079385,,unknown,unknown,unknown,false,0,2,319,true,99.99,B, true,false,51.62,1177.75,44.99,46.5,0.0,-7.315,-0.2856,259.11,44.33,11.0,0.525850278,13.26782707,16.0,11,1.0,,,0, true
126,1032891,,unknown,suburban,unknown,false,0,5,236,true,149.99,C, true,false,10.0,3.75,10.0,0.0,0.0,-0.075,,3.44,0.0,0.0,0.25093633,3.313049802,1.33,25,0.0,1.0,1.0,0, true
127,1015904,44.0,unknown,suburban,yes,false,9,1,793,true,,C, false,true,50.24,103.75,46.99,0.0,0.0,1.865,,16.67,3.67,0.33,7.174386921,-15.22930009,1.0,26,0.0,,,0, true
128,1082441,46.0,professional,unknown,unknown,false,7,3,8,true,129.99,B, false,true,108.81,1010.5,60.11,146.75,0.0,6.23,0.7516,367.58,28.33,8.0,1.112149533,9.419398576,7.67,11,1.67,,,3, false
129,1024379,42.0,unknown,unknown,yes,false,6,2,719,true,149.99,B, false,true,65.86,353.5,35.07,85.75,0.0,4.27,-0.1616,59.92,30.0,1.0,3.059642857,-3.653996785,1.67,26,0.0,,,0, false
130,1079943,,unknown,unknown,unknown,false,0,1,378,true,,E, true,false,46.71,359.75,54.99,2.5,0.84,-0.495,-0.0344,87.97,32.33,0.67,1.187018085,-9.858068966,4.0,13,0.0,,,0, true
131,1002729,26.0,self-employed,suburban,no,false,4,7,448,true,79.99,E, true,true,57.84,789.0,49.99,15.0,0.1,3.96,0.268,242.66,15.33,8.33,2.3550898890000003,-5.894281112000001,6.67,43,0.33,,,0, false
132,1031155,56.0,unknown,unknown,yes,false,9,2,34,true,59.99,C, false,true,151.82,772.75,50.0,300.0,0.0,10.745,2.4642,119.57,26.67,5.67,2.770444444,-1.616940239,9.67,19,0.0,,,0, true
133,1085716,28.0,unknown,suburban,yes,false,6,1,190,true,,B, false,true,53.16,461.0,89.99,0.0,0.0,0.36,0.1564,49.7,24.67,4.33,0.873875049,-7.876150058999999,10.0,6,0.0,,,0, false
134,1008027,32.0,unknown,unknown,no,true,4,1,1030,false,,E, false,true,39.51,149.0,59.27,0.0,0.0,2.52,0.2096,30.27,17.0,0.0,2.205558006,-0.7060273290000001,9.67,34,4.0,,,1, false
135,1071194,,unknown,unknown,unknown,false,0,2,382,true,29.99,B, true,false,75.09,857.25,84.99,0.0,0.1,-1.205,-0.002,262.45,61.0,25.33,1.084982845,4.695499583,5.0,14,0.0,,,0, true
136,1014126,,unknown,unknown,unknown,false,0,1,825,false,,A, true,false,66.43,325.25,69.99,0.0,0.8,0.315,0.0046,82.01,26.33,3.0,1.6621593069999998,-2.126210957,4.33,27,0.0,,,0, true
137,1009265,24.0,unknown,unknown,no,false,6,2,445,true,29.99,C, false,true,64.15,440.0,51.99,38.0,0.0,-3.16,-0.2432,87.58,29.0,5.0,0.8246052629999999,-10.77263596,3.33,29,0.0,,,0, true
138,1023714,50.0,professional,suburban,yes,false,6,3,428,true,29.99,B, false,true,10.0,244.75,10.0,0.0,0.0,1.225,,17.43,7.33,2.67,1.783792144,7.669209901,7.0,27,0.0,,,0, true
139,1031041,56.0,professional,town,yes,true,5,3,606,true,149.99,B, false,true,60.71,448.75,30.0,84.75,0.0,-0.415,-0.0122,69.7,20.33,1.0,5.170731707,13.58396794,9.67,25,0.0,,,1, true
140,1002080,66.0,unknown,suburban,no,false,4,4,233,true,29.99,A, false,true,39.11,651.75,30.0,9.0,0.1,-0.035,0.0686,102.58,42.0,11.33,0.7231926059999999,-23.815533,19.33,42,6.0,,,0, false
141,1046228,36.0,unknown,suburban,no,false,4,1,426,true,,C, true,true,33.66,111.5,39.99,0.0,3.15,1.63,0.0706,19.31,0.67,0.33,3.0,-12.06564822,2.33,14,0.0,,,2, true
142,1071333,,unknown,unknown,unknown,false,0,1,249,true,,B, true,false,32.78,66.25,44.99,0.0,0.0,-0.385,-0.0558,0.0,0.0,0.0,0.0,-2.0872114180000003,0.0,8,0.0,,,0, false
143,1099087,48.0,unknown,suburban,no,true,5,3,692,true,9.99,E, false,true,56.06,185.0,54.98,0.0,0.0,0.2,-0.0186,46.58,7.0,2.33,0.55987521,6.530188582999999,8.67,30,0.33,,,0, true
144,1018860,,unknown,rural,unknown,false,0,2,125,true,29.99,D, true,false,101.99,789.0,59.99,171.75,0.0,-4.52,-1.04,311.02,45.0,0.33,2.251610528,7.005530089,22.0,23,0.33,,,0, true
145,1023911,68.0,unknown,unknown,yes,false,3,3,192,true,9.99,D, true,false,71.67,1062.0,67.49,71.0,0.0,-3.12,-0.4336,408.66,48.0,18.67,1.221035296,7.866713924,12.0,21,0.0,,,0, false
146,1082333,,unknown,unknown,unknown,false,0,1,202,true,,G, true,false,58.57,425.75,44.63,49.25,0.68,4.545,0.6304,37.59,14.33,0.67,1.279569892,1.868798777,6.33,7,1.0,,,1, false
147,1031584,,unknown,unknown,unknown,false,0,1,736,true,,G, true,false,50.49,746.75,49.99,0.0,0.0,2.025,-0.0098,266.55,91.33,21.33,0.95989412,7.89472621,3.33,25,0.67,,,0, false
148,1018831,34.0,unknown,suburban,no,false,5,3,283,false,29.99,C, false,true,82.09,842.75,59.99,105.5,0.0,-0.195,0.18600000000000005,29.79,36.0,1.33,2.366863905,-16.06143554,20.67,23,0.0,1.0,1.0,0, true
149,1036565,34.0,unknown,rural,yes,false,4,1,523,false,,B, false,true,80.82,567.25,50.0,98.75,0.0,4.315,0.7132,122.49,17.67,3.33,3.547410133,7.749196829,36.67,17,0.0,,,0, true
150,1008049,32.0,unknown,suburban,no,false,9,2,434,true,29.99,D, false,true,39.8,316.0,44.99,13.75,0.0,-0.5,-0.0962,40.96,9.67,3.67,1.852225227,-5.331539117,3.67,32,5.67,,,0, true
151,1016514,,unknown,suburban,unknown,false,0,2,192,true,79.99,C, true,false,80.96,850.75,89.99,5.0,0.0,1.945,-0.0598,88.07,15.67,0.67,7.110201855,8.280557242,6.33,28,0.0,,,0, false
152,1029155,48.0,professional,suburban,yes,true,9,2,340,true,59.99,B, false,true,52.22,560.75,59.99,0.0,0.74,1.765,-0.0446,99.55,28.0,8.67,0.80125,-5.85981852,11.33,23,0.67,,,0, true
153,1092592,30.0,unknown,suburban,unknown,false,5,1,190,true,,B, false,false,82.27,815.75,69.99,62.0,0.0,5.665,0.8144,243.16,50.67,0.67,1.18873494,5.6601424489999985,11.0,6,0.33,,,0, true
154,1090141,36.0,unknown,suburban,yes,false,4,2,225,true,149.99,E, false,true,49.99,88.25,69.99,0.0,0.0,-0.585,,19.75,10.33,1.67,1.184586987,11.57788577,1.0,11,0.0,,,0, true
155,1024077,,unknown,town,unknown,false,0,3,27,true,29.99,E, true,false,67.85,453.5,59.99,23.75,0.59,3.27,0.4504,84.57,23.67,3.67,3.344827586,8.575194022,12.0,21,3.0,,,0, false
156,1032512,28.0,unknown,suburban,no,false,7,1,564,true,,C, true,false,94.62,1074.5,74.99,66.5,0.84,-1.79,-0.3926,287.75,58.0,8.0,4.968103285,-6.194575577,9.0,19,0.0,,,0, true
157,1020194,52.0,professional,suburban,yes,true,7,2,321,true,79.99,B, false,true,69.93,690.0,49.83,49.75,0.29,3.88,-0.3754,98.06,59.67,27.0,0.656268644,2.070366807,28.67,22,0.0,,,0, false
158,1032375,46.0,professional,unknown,yes,false,9,2,673,false,29.99,C, false,true,32.42,166.5,30.0,0.0,0.69,-1.27,-0.0484,23.08,5.0,0.0,2.472770324,-4.628956013,1.0,23,1.0,,,3, true
159,1017123,52.0,crafts,unknown,unknown,false,5,2,766,true,59.99,A, false,true,47.34,87.0,9.84,3.0,0.0,-1.74,-0.7468,30.86,9.33,0.0,2.751339764,-8.63714427,12.67,25,4.0,,,0, true
160,1070260,,unknown,town,unknown,false,0,2,253,true,79.99,B, true,false,84.46,2256.0,59.99,113.25,0.0,-5.32,-0.6894,329.38,187.0,28.67,0.409407797,-22.82185624,78.33,10,7.67,,,0, true
161,1039423,,unknown,suburban,unknown,false,0,2,49,true,149.99,E, true,false,59.42,1297.5,44.99,34.5,0.0,4.37,-0.3116,323.63,93.33,44.0,0.428359611,5.74214069,5.67,16,0.0,,,0, true
162,1041005,44.0,unknown,unknown,unknown,false,5,1,476,true,,B, false,true,17.5,277.5,10.0,24.25,0.0,-0.81,-0.15,77.35,25.33,14.67,1.040360554,-14.73036153,3.33,16,0.0,,,1, true
163,1082753,26.0,unknown,town,no,false,4,1,310,true,,E, false,true,94.04,873.25,67.49,103.5,0.26,1.735,0.3444,238.83,44.0,16.33,1.230595995,1.164971274,36.67,11,3.33,,,0, true
164,1066277,64.0,unknown,suburban,yes,false,9,1,346,true,,A, false,true,30.71,74.5,39.99,0.0,0.72,-0.39,0.0112,0.0,0.0,0.0,0.0,-9.929360192999999,0.0,11,0.0,,,0, true
165,1012592,22.0,unknown,unknown,unknown,false,1,2,592,false,29.99,C, true,true,100.7,913.75,59.99,135.5,2.35,4.045,0.6216,119.45,43.33,9.67,3.0345066760000003,-4.148678676,4.67,32,0.0,,,0, true
166,1042758,26.0,clerical,unknown,no,false,4,5,38,true,149.99,F, false,true,90.73,846.33,74.99,2.67,1.72,-6.0266,-0.3148,21.83,8.67,8.67,1.112378538,-15.06432704,2.0,21,0.67,,,1, true
167,1085554,32.0,unknown,town,no,false,5,1,253,true,,G, true,true,29.99,188.25,39.99,0.0,0.0,-0.425,,33.85,2.67,0.33,0.417953884,-11.07924856,4.33,8,0.0,,,0, false
168,1036694,46.0,unknown,suburban,unknown,true,6,2,580,false,29.99,B, false,true,32.95,187.5,29.99,5.75,0.16,-0.17,-0.0462,15.77,10.33,5.67,7.512425021,-5.4674192160000015,1.67,19,6.67,,,0, true
169,1034580,,unknown,unknown,unknown,false,8,1,655,true,,D, false,true,77.97,350.75,75.0,0.0,0.0,1.705,0.0396,69.12,13.33,1.67,3.506038177,-18.7732802,5.0,22,0.0,,,0, true
170,1074438,56.0,unknown,unknown,no,false,7,1,340,true,,B, false,true,42.25,1691.5,44.99,30.25,0.0,-5.95,0.2398,0.0,0.0,0.0,0.0,-7.3502633039999985,0.0,12,0.0,,,0, false
171,1031066,40.0,unknown,town,yes,true,6,1,569,false,,C, false,true,22.32,75.25,23.23,0.0,0.0,-0.365,0.1236,3.53,0.0,0.0,4.269754768,14.80218429,5.67,19,0.33,,,0, true
172,1067063,22.0,student,unknown,no,true,1,3,168,true,59.99,C, false,true,43.4,574.5,33.7,30.5,0.0,6.01,0.7078,63.47,18.33,1.67,0.307337662,-4.01553073,12.0,15,8.33,2.0,,0, false
173,1067662,,unknown,suburban,unknown,false,0,2,429,true,59.99,B, true,false,31.12,681.0,39.99,1.5,0.0,-2.58,0.0676,0.0,0.0,0.0,0.0,3.419517717,0.0,15,0.0,,,2, false
174,1028842,40.0,professional,unknown,yes,true,8,1,685,true,,B, false,true,30.88,204.25,30.0,0.0,0.88,0.375,0.0526,15.06,9.67,1.0,6.75,-12.64389781,5.33,23,0.0,,,0, false
175,1027696,32.0,professional,suburban,no,false,6,1,648,false,,B, false,true,52.82,354.5,49.99,17.75,0.0,-1.45,-0.1066,146.13,13.67,4.0,2.07061322,-31.73557589,4.0,21,0.0,,,3, false
176,1065123,32.0,unknown,unknown,yes,true,1,1,460,true,,E, false,true,73.3,1502.25,59.99,60.25,0.0,9.615,-0.3466,390.84,35.67,30.33,2.038229167,7.867123013,28.0,16,3.0,,,0, true
177,1040228,,unknown,town,unknown,false,0,1,484,true,,E, true,false,47.93,108.0,50.0,0.0,0.0,-1.0,-0.0086,12.33,4.0,0.0,1.7357102430000002,-7.030517193,1.0,16,1.67,,,0, false
178,1064886,62.0,unknown,suburban,no,false,3,2,278,true,29.99,B, false,true,46.8,317.75,39.99,47.25,0.0,-2.195,-0.3362,0.0,0.0,0.0,0.0,-13.0228222,0.0,10,0.0,,,0, false
179,1066066,,unknown,suburban,unknown,false,8,2,109,true,149.99,E, false,true,57.21,590.0,39.99,76.75,0.0,0.88,0.2046,256.6,17.33,28.0,1.293494212,-0.449425331,4.33,15,0.0,,,2, true
180,1026300,48.0,unknown,suburban,no,false,6,4,192,true,29.99,B, false,true,64.42,1211.75,44.99,56.75,5.07,2.205,0.2248,512.96,136.0,119.67,0.375228661,-8.218001618999999,33.67,22,4.33,,,0, false
181,1052341,46.0,unknown,unknown,unknown,false,9,1,541,true,,B, true,true,39.99,464.0,39.99,0.0,0.0,-2.38,,39.85,21.67,8.0,1.6475,-6.2982008610000015,14.0,18,8.33,,,0, false
182,1008881,,unknown,unknown,unknown,false,0,4,692,true,9.99,A, true,false,200.67,1328.5,59.99,502.25,0.0,14.21,3.2206,179.86,19.33,0.0,3.798513625,13.27833778,16.0,34,0.0,,,0, false
183,1011951,48.0,professional,rural,yes,true,9,2,132,true,29.99,A, false,true,61.46,950.5,44.99,91.0,0.68,4.37,0.0516,158.29,59.33,13.67,0.946651882,7.06885685,32.33,27,7.0,,,0, true
184,1005456,38.0,unknown,unknown,yes,true,3,3,165,true,39.99,A, false,true,38.71,336.5,49.99,0.0,0.0,0.03,-0.0144,167.17,9.67,1.67,5.711333333,15.9785973,1.0,34,0.0,1.0,1.0,0, false
185,1020458,,unknown,unknown,unknown,false,0,2,47,false,79.99,A, true,false,48.64,1137.25,44.82,50.0,0.0,-18.445,-0.403,223.98,56.67,19.33,0.801648679,-10.25318854,20.33,22,18.0,,,0, true
186,1021199,30.0,professional,unknown,no,true,5,1,726,false,,D, false,true,29.99,34.5,29.99,0.0,0.0,0.49,,6.3,0.67,0.33,0.884659746,3.138783569,0.33,24,0.0,,,0, true
187,1013970,,unknown,unknown,unknown,false,0,2,401,true,29.99,F, true,false,70.97,595.25,69.99,0.0,0.98,-2.965,-0.0196,239.58,15.0,12.0,3.684033945,2.06153875,18.0,31,0.0,1.0,,0, true
188,1084924,42.0,unknown,rural,no,false,6,1,302,true,,E, true,false,53.99,314.25,59.99,0.0,0.0,1.695,,13.92,22.67,3.0,1.186070158,-2.684081429,20.67,10,0.33,,,0, false
189,1053655,26.0,professional,unknown,no,false,2,2,283,true,29.99,E, false,true,39.43,248.75,29.99,68.0,0.0,-0.515,-0.1888,104.13,24.0,1.33,1.209608757,21.8776052,5.33,12,0.0,,,0, true
190,1054093,44.0,unknown,unknown,yes,true,6,5,55,false,149.99,C, false,true,196.74,3252.25,94.99,406.5,1.92,-13.825,-1.3366,827.02,328.0,51.33,1.797280702,6.096719007999999,75.67,18,18.0,,,0, true
191,1043372,24.0,unknown,suburban,unknown,false,9,3,250,true,9.99,D, false,true,47.44,364.5,15.6,100.5,0.0,-7.29,-0.9488,112.58,14.33,0.33,2.573316551,-4.387566349,9.0,15,4.0,,,0, false
192,1006497,28.0,unknown,unknown,no,false,7,2,189,true,29.99,E, false,true,43.07,313.25,34.99,3.5,0.65,-2.405,-0.0716,63.14,26.33,13.33,1.68976647,-14.91229158,5.33,31,0.33,,,0, false
193,1013805,42.0,unknown,suburban,yes,true,7,2,743,false,9.99,A, false,true,86.09,970.5,84.99,0.0,7.14,0.93,0.187,227.63,30.33,0.33,4.905736874,2.436760405,13.67,29,0.67,,,0, true
194,1064426,,unknown,unknown,unknown,false,0,1,403,true,,G, true,false,29.99,205.75,39.99,0.0,0.0,0.725,,107.43,13.0,2.67,2.96710208,-0.108841969,4.0,14,0.0,,,2, false
195,1044194,52.0,professional,suburban,yes,false,6,2,258,true,59.99,C, true,true,75.49,811.75,74.99,0.0,0.0,-5.535,-0.01,161.58,72.33,7.67,3.3824590160000003,14.55413747,14.0,21,0.0,,,0, false
196,1073423,30.0,professional,unknown,no,false,3,1,345,true,,C, false,true,67.41,446.75,43.7,56.5,0.9,-0.375,-0.001,53.87,13.67,0.0,1.512884615,-9.458369057,9.67,12,0.0,,,0, true
197,1004703,48.0,professional,suburban,unknown,false,9,3,869,true,29.99,A, false,true,35.98,155.5,44.99,0.0,0.0,-1.09,-0.0198,0.0,3.0,0.0,3.3696682460000003,-14.62968209,1.0,37,0.0,,,1, false
198,1004747,56.0,unknown,suburban,unknown,false,9,2,267,true,29.99,A, false,true,62.25,446.5,45.0,43.25,0.0,-1.27,-0.2262,31.62,17.0,2.67,3.1036229060000005,14.30631783,2.0,35,2.33,,,0, false
199,1000662,,unknown,suburban,unknown,false,0,2,620,true,29.99,A, true,false,75.73,410.75,50.0,0.0,6.91,1.845,0.2706,20.95,8.0,0.0,2.965429588,-11.70038701,9.33,49,0.0,,,0, false
200,1090078,,unknown,rural,unknown,false,0,2,285,true,79.99,G, true,false,57.08,224.25,69.99,0.25,0.0,-1.005,-0.0222,52.66,1.33,0.67,15.64821223,-3.812337539,14.33,11,2.0,,,0, false
201,1033138,30.0,unknown,suburban,yes,false,6,1,624,true,,C, false,true,30.25,32.75,30.0,0.0,0.0,0.025,-0.005,0.6,3.0,0.67,1.734,0.470794771,5.0,21,0.0,,,0, false
202,1010034,32.0,professional,unknown,yes,false,8,2,579,true,29.99,A, false,true,46.38,260.25,29.99,26.5,2.63,1.415,0.2604,12.92,12.67,0.67,1.418727199,9.084208656,4.67,29,0.0,,,0, false
203,1042931,,unknown,unknown,unknown,false,6,2,196,true,149.99,E, true,true,54.55,247.5,39.99,50.25,0.0,-3.25,-0.4318,21.95,10.67,1.0,3.696818182,5.570114704,5.67,19,2.33,,,0, false
204,1061194,46.0,professional,suburban,unknown,true,9,1,422,true,,A, false,true,30.25,544.75,39.99,63.0,0.0,-1.235,-0.0052,81.77,31.33,11.0,1.107794118,0.143951129,14.33,14,3.67,,,1, false
205,1035918,44.0,professional,unknown,yes,true,2,2,103,true,149.99,A, false,true,55.51,207.5,29.99,40.25,2.35,-0.17,-0.2258,67.27,9.0,1.33,0.6423663479999999,8.934670934,3.0,19,0.0,,,3, false
206,1099450,,unknown,unknown,unknown,false,0,2,16,true,59.99,G, true,false,52.3,323.5,30.0,53.0,0.0,5.27,1.1428,56.68,28.67,4.33,1.7210204080000002,-3.572475872,8.33,31,2.0,,,0, false
207,1066205,,unknown,unknown,unknown,false,0,1,393,true,,B, true,false,32.61,206.0,39.99,0.0,1.63,2.78,0.0302,60.23,12.33,3.0,0.8888888890000001,-1.7640214930000002,3.0,13,0.0,,,0, false
208,1061723,,unknown,unknown,unknown,false,0,1,311,true,,B, true,false,50.54,585.0,59.99,0.25,0.0,1.28,-0.003,180.9,8.0,6.67,2.132998874,-25.15914071,5.0,10,14.67,,,1, false
209,1083547,34.0,unknown,unknown,no,false,8,1,308,true,,D, false,true,34.99,39.25,44.99,0.0,0.0,1.135,,0.89,0.0,0.0,16.0,15.49656823,1.67,11,0.0,,,0, true
210,1043809,34.0,unknown,unknown,unknown,false,0,2,383,true,29.99,G, true,false,102.09,893.75,74.99,0.25,23.01,-4.875,0.342,180.84,75.33,6.33,1.35828877,5.619935855,20.0,19,0.0,,,0, true
211,1002709,,unknown,suburban,unknown,false,0,3,160,true,29.99,A, true,false,81.44,935.25,75.0,0.0,0.0,-9.625,-0.0458,323.7,60.33,42.0,0.8085972659999999,7.844393735,22.33,39,1.33,,,0, false
212,1083605,24.0,unknown,unknown,unknown,false,2,1,307,true,,E, true,false,30.49,329.0,40.49,0.0,0.0,0.6,0.09,41.6,30.0,6.0,1.03253458,10.4995175,4.33,11,1.67,,,1, false
213,1072665,,unknown,unknown,unknown,false,0,2,38,true,149.99,C, true,false,36.19,868.5,44.62,8.5,1.05,-12.81,-0.14,204.0,95.33,47.33,0.415153374,10.94360048,11.0,12,6.33,,,0, true
214,1020705,50.0,professional,unknown,yes,true,9,3,122,true,39.99,G, false,true,298.85,1219.5,50.0,804.25,0.0,-23.55,-4.8886,262.87,45.33,2.67,4.086770833,-0.322829367,23.33,28,0.0,,,0, true
215,1032391,28.0,professional,unknown,no,false,5,8,664,true,59.99,B, false,true,30.74,273.75,30.0,0.0,0.0,0.045,-0.0148,47.91,23.0,3.33,4.387096774,-4.443185436,7.67,23,1.33,,,0, true
216,1058010,40.0,crafts,suburban,yes,true,6,2,325,true,199.99,D, false,true,64.08,283.25,69.99,11.0,0.0,-3.485,-0.0818,66.69,29.0,9.67,2.681818182,4.09833123,19.33,11,1.33,,,0, false
217,1024592,44.0,unknown,unknown,unknown,false,4,3,157,true,99.99,C, false,true,325.02,1710.0,59.02,887.0,5.72,-31.1,-5.4278,577.55,76.33,23.67,4.006622517,17.50634458,11.67,22,1.33,,,3, false
218,1060082,50.0,clerical,unknown,no,false,5,2,397,true,129.99,B, false,true,55.13,647.0,59.99,14.0,0.2,-1.6,-0.0632,179.51,58.67,32.67,1.53228923,11.64262133,18.0,15,0.0,,,0, true
219,1061068,,unknown,unknown,unknown,false,0,2,310,true,59.99,B, true,false,55.18,306.5,59.99,0.0,0.0,0.53,-0.004,134.93,11.67,2.67,1.838296934,9.290626589,7.0,10,0.0,,,0, false
220,1035644,36.0,unknown,suburban,unknown,false,8,1,642,true,,B, false,true,31.93,69.0,29.99,0.0,1.94,-0.28,0.0002,8.26,7.33,0.33,2.11653873,-15.69591858,1.33,22,0.0,,,0, true
221,1019418,36.0,professional,suburban,yes,false,9,3,377,true,59.99,B, false,true,225.47,355.75,96.98,0.0,0.0,1.605,8.0946,105.04,30.0,21.33,9.89187056,11.26192607,6.33,27,0.0,,,0, false
222,1060781,22.0,unknown,unknown,unknown,false,2,1,379,true,,D, true,false,45.82,275.0,30.0,42.0,0.0,-2.12,-0.3074,34.66,12.67,1.0,0.7829090190000001,5.087771483,4.33,12,0.0,,,0, true
223,1005536,72.0,professional,suburban,yes,false,4,1,1080,false,,A, false,true,30.0,55.0,30.0,0.0,0.0,-0.5,,0.89,2.67,0.0,0.454545455,14.14167606,5.67,36,0.0,,,0, true
224,1026530,,unknown,unknown,unknown,false,0,3,459,true,129.99,A, true,false,53.2,438.5,34.98,44.5,0.59,3.15,0.5196,0.0,0.0,0.0,0.0,3.263899482,0.0,26,0.0,,,0, false
225,1073575,44.0,unknown,suburban,no,false,3,2,172,true,129.99,C, false,true,35.24,102.0,44.99,0.0,0.0,0.22,-0.005,20.77,1.67,0.33,1.998965874,3.731027722,4.33,10,0.33,,,0, false
226,1092447,,unknown,unknown,unknown,false,0,1,237,true,,E, true,false,77.4,964.0,79.99,25.25,0.0,-3.98,0.2912,159.67,21.67,5.0,0.639885057,-16.87412939,3.67,8,8.67,,,0, true
227,1019860,32.0,unknown,unknown,no,false,6,1,851,false,,B, false,true,19.99,14.75,29.99,0.0,0.0,-0.175,,2.03,6.33,2.0,3.903903904,-8.095433745,0.67,28,0.67,,,3, false
228,1056863,56.0,professional,suburban,yes,true,6,2,372,true,199.99,B, false,true,66.76,317.5,69.99,3.0,1.88,-3.59,-0.0654,61.8,16.67,3.67,1.531016949,9.074126424,18.33,13,0.0,,,0, true
229,1087751,70.0,professional,unknown,no,false,4,1,285,true,,B, false,true,29.99,121.0,29.99,0.0,0.0,1.1,,0.0,1.67,0.0,1.59970015,-1.816458587,0.0,10,0.0,,,0, false
230,1001983,32.0,unknown,suburban,no,false,1,6,55,true,199.99,A, false,true,56.33,234.75,29.99,75.25,0.0,-2.555,-0.5268,24.92,6.0,1.0,2.652916667,15.90865371,8.67,43,0.0,,,0, true
231,1062861,28.0,unknown,suburban,no,false,1,1,412,true,,B, false,true,29.99,365.25,39.99,0.0,0.0,-0.245,,13.1,14.33,6.0,1.838965517,-5.963538154,12.0,14,6.0,,,0, true
232,1023203,30.0,unknown,suburban,no,false,5,3,122,true,149.99,B, false,false,73.73,726.5,79.97,0.0,4.29,-14.53,-0.4962,249.16,14.33,0.33,2.722896495,-18.34184269,12.67,25,0.33,,,3, true
233,1047186,44.0,professional,suburban,unknown,false,9,1,417,true,,C, false,true,75.54,727.5,69.99,34.75,0.1,-7.61,-0.2382,195.59,97.67,29.33,1.066945153,-15.06984471,9.33,14,2.0,,,2, true
234,1070427,18.0,unknown,town,no,true,0,1,317,true,,E, true,false,66.14,481.0,59.99,61.0,0.0,15.28,0.8694,162.54,6.67,2.67,1.20713073,-16.22326036,1.33,10,0.0,,,3, true
235,1014001,,unknown,unknown,unknown,false,0,1,766,true,,A, true,false,63.11,686.25,44.99,69.5,0.0,-9.405,-0.5624,218.1,24.0,1.67,0.927662094,-2.890723506,19.33,25,0.0,,,0, false
236,1005217,62.0,self-employed,suburban,yes,false,7,1,1045,true,,A, false,false,16.14,14.5,16.99,0.0,0.0,0.09,,0.0,0.0,0.0,8.0,3.19690724,2.0,34,0.0,,,0, false
237,1079965,,unknown,unknown,unknown,false,7,1,317,true,,G, false,true,45.34,950.0,54.99,1.0,0.0,4.28,0.021,227.04,78.33,34.0,0.500036409,-1.233574986,33.33,11,0.0,,,0, true
238,1048161,54.0,self-employed,suburban,yes,false,9,1,515,true,,A, false,true,47.49,359.5,59.99,0.0,0.0,-0.41,,18.7,36.67,3.67,3.916666667,8.568134367,5.0,17,0.33,,,0, false
239,1094421,,unknown,unknown,unknown,false,0,2,35,true,129.99,B, true,false,35.49,444.75,44.99,0.0,0.0,5.205,-0.0098,51.13,21.67,1.33,0.238833333,5.708094746,11.67,9,0.0,,,0, false
240,1091234,30.0,self-employed,unknown,yes,true,3,1,312,true,,E, false,true,73.63,907.5,53.07,70.5,2.35,-6.41,-0.4182,144.17,13.0,0.0,0.973053085,31.14865271,18.0,11,9.0,,,0, false
241,1036473,44.0,unknown,unknown,yes,true,4,4,11,true,29.99,D, false,true,51.03,1008.5,39.99,16.0,0.39,0.09,-0.009000000000000001,219.91,53.67,1.33,0.6829509429999999,-5.118629777,33.0,23,9.0,,,0, false
242,1093694,52.0,unknown,suburban,yes,true,3,1,281,true,,E, false,true,35.09,259.0,44.99,0.0,0.1,-0.74,0.0058,207.65,20.67,13.67,1.1043569009999998,19.10615392,1.67,10,0.0,,,0, false
243,1030994,26.0,unknown,suburban,unknown,false,3,2,8,true,29.99,D, true,false,35.34,271.25,44.99,0.25,0.0,-2.145,0.001,8.98,10.33,0.0,0.7142857140000001,15.64410351,5.0,21,0.0,,,0, true
244,1006724,28.0,unknown,suburban,yes,true,6,3,508,true,29.99,A, false,true,45.74,38.0,45.0,0.0,0.0,-0.7,-0.0148,0.85,4.67,0.33,4.868913858,1.02696938,2.0,33,0.0,,,0, true
245,1031473,26.0,professional,unknown,no,false,6,1,737,true,,B, false,true,35.09,448.5,44.99,0.0,0.1,2.31,-0.002,99.24,26.67,17.67,1.21359375,-6.21428532,3.67,25,0.0,,,0, false
246,1069030,,unknown,unknown,unknown,false,0,1,434,true,,D, true,false,70.66,433.0,48.66,33.25,0.0,8.44,1.0598,14.39,9.67,1.33,1.5571591340000002,-2.152116306,6.67,15,0.0,,,3, false
